#simptom;ime;godina;pol;rasa;ver
eye_alignment_disorder;double vision;75;musko;hispanic;0.03
eye_alignment_disorder;double vision;75;zensko;hispanic;0.02
eye_alignment_disorder;double vision;75;musko;white;0.023
eye_alignment_disorder;double vision;75;zensko;white;0.015
eye_alignment_disorder;double vision;75;musko;other;0.04
eye_alignment_disorder;double vision;75;zensko;other;0.029
macular_degeneration;double vision;0;musko;black;0
macular_degeneration;double vision;0;zensko;black;0
macular_degeneration;double vision;0;musko;hispanic;0
macular_degeneration;double vision;0;zensko;hispanic;0
macular_degeneration;double vision;0;musko;white;0
macular_degeneration;double vision;0;zensko;white;0
macular_degeneration;double vision;0;musko;other;0
macular_degeneration;double vision;0;zensko;other;0
macular_degeneration;double vision;1-4;musko;black;0.002
macular_degeneration;double vision;1-4;zensko;black;0.002
macular_degeneration;double vision;1-4;musko;hispanic;0.003
macular_degeneration;double vision;1-4;zensko;hispanic;0.004
macular_degeneration;double vision;1-4;musko;white;0.004
macular_degeneration;double vision;1-4;zensko;white;0.005
macular_degeneration;double vision;1-4;musko;other;0.003
macular_degeneration;double vision;1-4;zensko;other;0.004
macular_degeneration;double vision;5-14;musko;black;0
macular_degeneration;double vision;5-14;zensko;black;0
macular_degeneration;double vision;5-14;musko;hispanic;0
macular_degeneration;double vision;5-14;zensko;hispanic;0
macular_degeneration;double vision;5-14;musko;white;0
macular_degeneration;double vision;5-14;zensko;white;0
macular_degeneration;double vision;5-14;musko;other;0
macular_degeneration;double vision;5-14;zensko;other;0
macular_degeneration;double vision;15-29;musko;black;0.002
macular_degeneration;double vision;15-29;zensko;black;0.002
macular_degeneration;double vision;15-29;musko;hispanic;0.003
macular_degeneration;double vision;15-29;zensko;hispanic;0.004
macular_degeneration;double vision;15-29;musko;white;0.004
macular_degeneration;double vision;15-29;zensko;white;0.005
macular_degeneration;double vision;15-29;musko;other;0.003
macular_degeneration;double vision;15-29;zensko;other;0.004
macular_degeneration;double vision;30-44;musko;black;0.004
macular_degeneration;double vision;30-44;zensko;black;0.004
macular_degeneration;double vision;30-44;musko;hispanic;0.006
macular_degeneration;double vision;30-44;zensko;hispanic;0.007
macular_degeneration;double vision;30-44;musko;white;0.008
macular_degeneration;double vision;30-44;zensko;white;0.01
macular_degeneration;double vision;30-44;musko;other;0.006
macular_degeneration;double vision;30-44;zensko;other;0.007
macular_degeneration;double vision;45-59;musko;black;0.011
macular_degeneration;double vision;45-59;zensko;black;0.013
macular_degeneration;double vision;45-59;musko;hispanic;0.017
macular_degeneration;double vision;45-59;zensko;hispanic;0.021
macular_degeneration;double vision;45-59;musko;white;0.026
macular_degeneration;double vision;45-59;zensko;white;0.032
macular_degeneration;double vision;45-59;musko;other;0.017
macular_degeneration;double vision;45-59;zensko;other;0.021
macular_degeneration;double vision;60-74;musko;black;0.038
macular_degeneration;double vision;60-74;zensko;black;0.046
macular_degeneration;double vision;60-74;musko;hispanic;0.06
macular_degeneration;double vision;60-74;zensko;hispanic;0.074
macular_degeneration;double vision;60-74;musko;white;0.09
macular_degeneration;double vision;60-74;zensko;white;0.11
macular_degeneration;double vision;60-74;musko;other;0.06
macular_degeneration;double vision;60-74;zensko;other;0.074
macular_degeneration;double vision;75;musko;black;0.097
macular_degeneration;double vision;75;zensko;black;0.119
macular_degeneration;double vision;75;musko;hispanic;0.155
macular_degeneration;double vision;75;zensko;hispanic;0.2
macular_degeneration;double vision;75;musko;white;0.233
macular_degeneration;double vision;75;zensko;white;0.285
macular_degeneration;double vision;75;musko;other;0.155
macular_degeneration;double vision;75;zensko;other;0.2
chronic_glaucoma;double vision;0;musko;black;0.005
chronic_glaucoma;double vision;0;zensko;black;0.005
chronic_glaucoma;double vision;0;musko;hispanic;0.002
chronic_glaucoma;double vision;0;zensko;hispanic;0.002
chronic_glaucoma;double vision;0;musko;white;0.003
chronic_glaucoma;double vision;0;zensko;white;0.003
chronic_glaucoma;double vision;0;musko;other;0.004
chronic_glaucoma;double vision;0;zensko;other;0.004
chronic_glaucoma;double vision;1-4;musko;black;0
chronic_glaucoma;double vision;1-4;zensko;black;0
chronic_glaucoma;double vision;1-4;musko;hispanic;0
chronic_glaucoma;double vision;1-4;zensko;hispanic;0
chronic_glaucoma;double vision;1-4;musko;white;0
chronic_glaucoma;double vision;1-4;zensko;white;0
chronic_glaucoma;double vision;1-4;musko;other;0
chronic_glaucoma;double vision;1-4;zensko;other;0
chronic_glaucoma;double vision;5-14;musko;black;0.005
chronic_glaucoma;double vision;5-14;zensko;black;0.005
chronic_glaucoma;double vision;5-14;musko;hispanic;0.002
chronic_glaucoma;double vision;5-14;zensko;hispanic;0.002
chronic_glaucoma;double vision;5-14;musko;white;0.003
chronic_glaucoma;double vision;5-14;zensko;white;0.003
chronic_glaucoma;double vision;5-14;musko;other;0.004
chronic_glaucoma;double vision;5-14;zensko;other;0.004
chronic_glaucoma;double vision;15-29;musko;black;0.005
chronic_glaucoma;double vision;15-29;zensko;black;0.005
chronic_glaucoma;double vision;15-29;musko;hispanic;0.002
chronic_glaucoma;double vision;15-29;zensko;hispanic;0.002
chronic_glaucoma;double vision;15-29;musko;white;0.003
chronic_glaucoma;double vision;15-29;zensko;white;0.003
chronic_glaucoma;double vision;15-29;musko;other;0.004
chronic_glaucoma;double vision;15-29;zensko;other;0.004
chronic_glaucoma;double vision;30-44;musko;black;0.009
chronic_glaucoma;double vision;30-44;zensko;black;0.009
chronic_glaucoma;double vision;30-44;musko;hispanic;0.004
chronic_glaucoma;double vision;30-44;zensko;hispanic;0.004
chronic_glaucoma;double vision;30-44;musko;white;0.005
chronic_glaucoma;double vision;30-44;zensko;white;0.005
chronic_glaucoma;double vision;30-44;musko;other;0.008
chronic_glaucoma;double vision;30-44;zensko;other;0.008
chronic_glaucoma;double vision;45-59;musko;black;0.054
